job_title,job_date,job_desc,job_tasks,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,exper,gender
بائع مأكولات ومشروبات,27/04/1444,['بيع المأكولات و المشروبات للزبائن، وتوفير المعلومات المتعلقة بالمأكولات و المشروبات و أسعارها، وتولي أمور الدفع وتلقي المدفوعات من الزبائن.'],"['   بيع المأكولات و المشروبات للزبائن.', '  توفير المعلومات المتعلقة بالمأكولات و المشروبات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من الزبائن، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,13-1991284,خاص,متوسطة فئة أ,محلات الوجبات السريعة ( تشمل محلات البيتزاء ),"['Skill data', 'القدرة على الاداء تحت الضغط', 'محترف', 'القدرة على التواصل الفعال مع الاخرين', 'محترف', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'الشهادة الصحية الموحدة', 'مفيد']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'مكافأت شهرية ', 'حوافز اسبوعية']",دوام كامل,0 / 10,20202026297558,0 Years,both
مهندس ميكانيكي,27/04/1444,['إعداد التصاميم والمخططات لمشاريع وأعمال الهندسة الميكانيكية، وإعداد برامج تجميع وتركيب وتشغيل التجهيزات الميكانيكية في المشاريع الصناعية وإعداد برامج تشغيل المعدات الصناعية وبرامج الصيانة الوقائية، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال'],"['   إعداد التصاميم والمخططات لمشاريع أعمال الهندسة الميكانيكية، مثل المولدات والتوربينات ووحدات التكييف والمراجل وشبكات التوزيع لأنظمة التدفئة والتكييف والتبريد', '  إعداد خطط وبرامج تجميع وتركيب التجهيزات الميكانيكية للمشاريع الصناعية، وتحديد أنظمة الضبط والتحكم في المشاريع الصناعية', '  إعداد برامج تشغيل المعدات وبرامج الصيانة الوقائية بحسب تعليمات الشركات الصانعة ومتابعة إجراءات تنفيذها', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الصخور العربية للصناعة,1-330053,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'اللغة الانجليزية ', 'متوسط']",الرياض,ABA ASLAB...,"['Salary', '7000.0', 'Benefits', '  ']",دوام كامل,0 / 1,20202026287302,0 Years,M
مهندس مدني,27/04/1444,['دراسة طبوغرافية وجيولوجية الموقع الإنشائي ونتائج اختبار فحص التربة، وإعداد التصاميم الإنشائية ومتابعة إعداد المخططات الإنشائية وتدقيقها ومتابعة إعداد جداول الكميات والمواصفات للمواد الإنشائية، والإشراف على تنفيذ المشروع ومطابقة المواصفات، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال'],"['   دراسة طبوغرافية وجيولوجية الموقع الإنشائي ونتائج اختبار فحص التربة، ودراسة المتطلبات والمخططات المعمارية للمشروع، وتحديد أعماق التأسيس اللازمة للمشروع وإجراء تحليل إنشائي متكامل لعناصره', '  إعداد تصاميم المشروع ومتابعة إعداد المخططات الإنشائية وتدقيقها وتدقيق جداول الكميات والمواصفات', '  الإشراف على تنفيذ المشروع ومطابقة المواصفات', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسبة تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الصخور العربية للصناعة,1-330053,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'الانجليزية ', 'متوسط']",الرياض,ABA ASLAB...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026287296,0 Years,M
فني مختبر طبي,27/04/1444,['تفقد وتشغيل وخدمة معدات المختبر،أخذ عينات الفحص وإجراء الفحوص المخبرية،واستخراج النتائج وتقديمها للاختصاصي المشرف،واتلاف العينات المخبرية بعد إجراء الفحوص، وإعداد وتقديم تقارير العمل.'],"['   تفقد وتشغيل وخدمة معدات حفظ وفحص العينات وضبطها بحسب نوع الفحص ومراقبتها', '  دراسة طلب الطبيب وتحديد الفحص المطلوب وسحب عينات الدم واستلام عينات البول والبراز وتدوين بيانات المريض عليها وحفظها وفقا لاسس الحفظ الصحيحة.', '  تحضير العينة للفحص والزراعة، واختيار مواد الفحص بالكميات والمواصفات المطلوبة وإجراء الفحوصات المختلفة والتحاليل الكيميائية والفيزيائية والمجهرية على العينات.', '  استخراج النتائج وتوثيقها، وإتلاف العينات بعد إجراء الفحوص وتوثيق إجراءات الاتلاف.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركة مجمع الرحمة الطبي,1-1080292,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,nan,الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 5,20202026287277,2 Years,both
فني هندسة ميكانيكية,27/04/1444,['المساعدة في أبحاث الهندسة الميكانيكية وتصميم المعدات والنظم، ودعم أنشطة الإنتاج والتركيب والصيانة.'],"['   المساعدة في وضع نظريات جديدة وتحسين الأساليب الحالية في هذا المجال.', '  المساهمة في عملية التصميم الكلية، وتقديم المشورة بشأن المواد ومعايير الجودة.', '  تقديم الدعم للمشاريع الهندسية، والإشراف على تنفيذ العمليات وتركيب النظم، وإعداد الجداول الزمنية وتقديرات التكلفة.', '  تقديم الدعم في أعمال صيانة النظم وتصليحها.', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة.', '  ']",مؤسسة جازي  للمقاولات,1-364401,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,nan,الباحة,AL BAHA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026287185,0 Years,M
فني هندسة إلكترونية,27/04/1444,['تركيب النظم الإلكترونية والمعدات مثل الدوائر وعناصر التحكم والآلات ومراقبتها، ومساعدة مهندسي الإلكترونيات في أنشطة البحث والتطوير'],"['   تحديد المخططات ونوع وكمية المواد والمعدات واليد العاملة المطلوبة استناداً إلى المخططات', '  توجيه جهود العمال والميكانيكيين وغيرهم من الحرفيين في تركيب النظم الإلكترونية وتنسيقها', '  اختبار النظم بعد تركيبها، وضمان التقيد بالمخططات والمواصفات', '  أداء عمليات الفحص الروتينية للصيانة الوقائية، وتشخيص التلفيات والأعطال المحتملة، واتخاذ الإجراءات التصحيحية', '  تقديم المساعدة التقنية للمهندسين في جهود البحث والتطوير المتعلقة بالمعدات الإلكترونية', '  ']",مؤسسة جازي  للمقاولات,1-364401,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,nan,الباحة,AL BAHA...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026287130,0 Years,M
أخصائي عمليات موارد بشرية,27/04/1444,['تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.'],"['   تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام موظفي الفروع وإجازاتهم على اختلاف أنواعها وتعديل النماذج عند الحاجة بالإضافة إلى تطبيق نظام مراقبة الحضور والتأكد من التزامهم بأوقات الدوام الرسمي.', '  تطبيق سياسات وإجراءات الإجازات السنوية والمرضية والطارئة وغيرها من الإجازات المحددة في سياسة العطل والإجازات المعتمدة وتطبيق إجراءات الترقيات ,الإعارة وانتهاء الخدمة وتسجيل كافة وقوعات الموظفين وفقا للأنظمة والإجراءات المعتمدة.', '  التعامل مع شكأوى وملاحظات وطلبات واستفسارات الموظفين بطريقة مهنية ورفع المشاكل حال وجودها إلى مدير الإدارة بشكل فعال', '  تحديث المعلومات المتعلقة بالموظفين وتزويدها لفريق خدمات الموظفين من خلال تسجيل وتوثيق جميع المعلومات المتعلقة بموظفي الجهة كالترقيات والدورات التدريبية والأمور المتعلقة بالرواتب والامتيازات', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بعمليات الموارد البشرية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة حديد السد للصناعة,1-1263234,خاص,متوسطة فئة ب,صناعة منتجات أولية من الحديد على شكل كتل من الركائز والمخلفات بعد إعادة صهرها,"['Skill data', 'اعداد الرواتب', 'متوسط', 'مطلع على قانون العمل السعودي', 'متوسط', 'عمل على المواقع الحكومية المخصصه للموارد', 'متوسط', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '8000.0']",دوام كامل,0 / 1,20202026287095,2 Years,M
سكرتير,27/04/1444,['دعم المدير أو الإدارة من خلال كتابة الوثائق وإدارة المكالمات الهاتفية والزوار، والمساعدة في تنسيق المشاريع الأساسية وإدارة جدول الأعمال.'],"['   تدوين الملاحظات، التي يتم إملاؤها، بطريقة الاختزال (الكتابة السريعة)، ونسخ المراسلات والتقارير ومحاضر الاجتماعات، ومراجعتها وتنسيقها وفقاً لمعايير المكتب.', '  تلقي المكالمات الهاتفية من الموظفين والعملاء الخارجيين وفرزها وتوجيهها، واستلام الرسائل الهاتفية والإجابة على أسئلة المتصلين وتحويل المكالمات إلى الشخص المناسب.', '  التعامل مع البريد الوارد والصادر، وفحص المراسلات البريدية وتسجيلها وتوزيعها.', '  فحص طلبات الاجتماعات والمواعيد، وتنسيق جداول المشاركين في الاجتماعات، وتحديد أوقات الاجتماعات، وتأمين قاعة الاجتماعات وتحضير جدول الأعمال.', '  إنشاء أنظمة لحفظ الملفات والسجلات وصيانتها، وحفظ جميع المستندات بشكل منتظم.', '  ']",شركة تنمية للمقاولات شركة شخص واحد,10-1973293,خاص,صغيرة فئة ب,إنشاء المحطات والخطوط الرئيسية لتوزيع المياه,"['Skill data', 'اجادة استخدام الحاسب الالي', 'متوسط']",المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 3,20202026286678,0 Years,both
بائع,27/04/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",مؤسسة عبدالله صباح فهد العنزي التجارية,25-1946689,خاص,صغيرة فئة أ,البيع بالتجزئة للساعات بأنواعها,nan,الرياض,AL KHARJ...,"['Salary', '4000.0', 'Benefits', 'يتم الاتفاق عليها عند العمل ']",دوام كامل,0 / 1,20202026286677,0 Years,F
مشرف مسكن,27/04/1444,['متابعة تطبيق اللوائح التنظيمية والتعليمات المنظمة للسكن، وإعداد قاعدة بيانات بالساكنين ومتابعة توفير الخدمات الاساسية والنظافة العامة وأمور السلامة والأمن في السكن، وتوفير الخدمات الطبية الطارئة، وإعداد وتقديم تقارير العمل.'],"['   متابعة تطبيق والالتزام باللوائح التنظيمية والتعليمات المنظمة لأعمال السكن.', '  إعداد قاعدة بيانات بالسكان ومتابعة تحديثها وتطويرها.', '  متابعة توفير الخدمات العامة الأساسية مثل الماء والكهرباء والاتصالات.', '  متابعة النظافة العامة والشروط الصحية والسلامة العامة والأمن في السكن وتوفير الخدمات الطبية الطارئة.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركه افراس للتجاره والمقاولات,1-1755170,خاص,عملاقة,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),nan,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026286670,0 Years,both
مساعد إداري,27/04/1444,['متابعة تنفيذ القرارات الادارية الصادرة عن الرئيس المباشر وتنظيم أعمال البريد والمواعيد اليومية، وإنجاز الأعمال الادارية المتعلقة بسير العمل وتنسيق وتنظيم اجتماعات الرئيس المباشر'],"['   تنفيذ التعليمات الادارية الصادرة عن الرئيس المباشر ومتابعة تنفيذ القرارات الادارية الصادرة عنه', '  فتح وفرز البريد الورقي وتوزيعه على المعنيين وفتح البريد الالكتروني والرد عليه بحسب توجيهات الرئيس المباشر', '  انجاز أعمال الطباعة والرد على الاستفسارات والمكالمات الهاتفية وتنظيم الملفات الخاصة', '  حفظ المعاملات والعناية بالملفات بأسلوب سلس يسهل عملية الرجوع إليها', '  تنسيق وتنظيم اجتماعات الرئيس المباشر واجتماعات موظفي الوحدة التنظيمية والمشاركة في هذه الاجتماعات و تدوين وتوثيق محاضرها، وطباعة وتوزيع محاضر الاجتماعات الخاصة بالرئيس المباشر للأطراف الأخرى المشاركة في الاجتماع.', '  ']",مؤسسة حديقة الطفل الأهلية,1-1807537,خاص,صغيرة فئة ب,التعليم في مرحلة ما قبل المدرسة - رياض الأطفال بمنهج وطني,"['Skill data', 'لغه انجليزيه', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",عمل عن بعد,0 / 2,20202026286665,0 Years,both
سكرتير تنفيذي,26/04/1444,['تنظيم المواعيد وإعداد المذكرات وإجراء المراسلات وحضور الاجتماعات وتحرير المحاض، وإعداد وتقديم تقارير العمل.'],"['   تنظيم مواعيد المدير/الرئيس وتذكيره بها، والتعامل مع الاستفسارات والرد عليها وإيصال البريد والمراسلات للمدير/الرئيس.', '  إعداد المذكرات الدورية والمتعلقة بعمل الوحدات التنظيمية الداخلية، وإجراء المراسلات الاعتيادية مع الجهات الخارجية وتوقيعها من المديرالرئيس وتوزيعها.', '  حضور الاجتماعات وتسجيل محاضر الاجتماعات وتحريرها.', '  حفظ الوثائق والملفات المتعلقة بأعمال المدير/الرئيس.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",مؤسسة رحلة الإنجاز للمقاولات,13-1737029,خاص,صغيرة فئة ب,الإنشاءات العامة للمباني السكنية,nan,مكة المكرمة,MAKKAH AL...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026286658,2 Years,M
مصمم وسائط متعددة,26/04/1444,['دراسة المتطلبات اللازمة لإنشاء الوسائط المتعددة وتنصيب وتشغيل التطبيقات والبرمجيات والتجهيزات اللازمة وتصميم وإنشاء ومعالجة الصور والرسومات والصوت، وإعداد الوثائق والتقارير المتخصصة بنتائج هذه الدراسات والتحاليل والقيام بعرضها ومناقشتها'],"['   دراسة وتحديد المتطلبات اللازمة لإنشاء الوسائط المتعددة ومتابعة تركيب وتشغيل وفحص الأجهزة المتعلقة بإنتاج الوسائط المتعددة', '  استلام ودراسة وتوثيق متطلبات المستخدم وتصميم وانشاء ومعالجة الصور والرسومات والصوت باستخدام البرامج الخاصة', '  تطوير تقنيات إنتاج الوسائط المتعددة وإعداد البرامج اللازمة باستخدام لغات البرمجة المتخصصة لإصدار الوسائط المتعددة', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية', '  إعداد الوثائق والتقارير وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة عروبة الشرق للتجارة شركة شخص واحد,1-371586,خاص,متوسطة فئة أ,بيع وتركيب معدات الفنادق والمطاعم والمطابخ والمغاسل الاتوماتيكية بالتجزئة,"['Skill data', 'تصميم ', 'متوسط', 'Language data', 'انجليزي ', 'متوسط', 'Professional certificate \\ License data', 'مصمم', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '5000.0', 'Benefits', 'عمولات وزياده في حال اتقان العمل ']",دوام كامل,0 / 2,20202026276541,0 Years,both
أخصائي تسويق,26/04/1444,['تحديد الأهداف وتطوير السياسات التسويقية للسلع والخدمات، والإشراف على تنفيذها وتقييمها، وإجراء اختبارات السوق وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال التسويق وعرضها وحفظها.'],"['   تحديد الأهداف العامة والفرعية للتسويق وتطوير السياسات والخطط والبرامج والتسهيلات التسويقية، وتحليل دورة حياة المنتج وتحديد أسباب نجاح أو فشل تسويق المنتجات، وتحليل أسعار المنافسين، وتطوير سياسات الأسعار.', '  تحديد برامج الترويج، واختيار قنوات التوزيع وتقييم فاعلية الدعاية والإعلان.', '  وضع برنامج زمني لتنفيذ السياسات التسويقية، ومتابعة إجراءات تنفيذها وتقييم النتائج.', '  إجراء اختبارات للمنتجات الجديدة قبل طرحها في الأسواق بشكلها النهائي واستخدام برامج حاسوبية خاصة في مجال اختبارات السوق وبحسب متطلبات العمل.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالتسويق وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",معهد الثقه الفائزة للتدريب,9-163097,خاص,صغيرة فئة ب,بيع وتركيب معدات الفنادق والمطاعم والمطابخ والمغاسل الاتوماتيكية بالتجزئة,"['Skill data', 'تصميم إعلانات', 'متوسط', 'خدمة العملاء', 'متوسط', 'مبيعات', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '4500.0']",دوام كامل,0 / 1,20202026276518,0 Years,M
سائق شاحنة ثقيلة,26/04/1444,['قيادة الشاحنات لنقل البضائع والمواد ثقيلة الوزن بطريقة آمنة ودون تأخير.'],"['   قيادة الشاحنة وفقًا لقواعد النقل ولوائحه ووفقا لخطط العمل الموضوعة.', '  فحص المحرك والفرامل والحالة العامة للشاحنة قبل بدء كل رحلة.', '  الحفاظ على نظافة الشاحنة والتنسيق مع الميكانيكيين والكهربائيين للصيانة والتصليح.', '  الإلتزام بالأوقات المحددة للتنقل في المدن.', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة.', '  ']",شركة الاتحاد السريع,2-1947065,خاص,متوسطة فئة أ,أنشطة اخرى خاصة بالنقل البري للبضائع,"['Skill data', 'سائق شاحنة', 'متوسط']",الرياض,ABA AL KI...,"['Salary', '5500.0', 'Benefits', 'نسبة على الرد ']",دوام كامل,0 / 3,20202026276321,2 Years,both
محلل نظم المعلومات,26/04/1444,['جمع متطلبات العميل واحتياجاته، وإجراء المقابلات وتنظيم الاستقصاءات و تحليل العمليات التجارية، والإجراءات، والممارسات المتبعة في أماكن العمل، واحتياجات العملاء بالإضافة إلى إعداد نماذج البيانات، ومخططات التدفق الوظيفية وغيرها من الوثائق.'],"['   جمع متطلبات العميل واحتياجاته، وإجراء المقابلات وتنظيم الاستقصاءات.', '  تحليل العمليات التجارية، والإجراءات، والممارسات المتبعة في أماكن العمل، واحتياجات العملاء، وترجمتها إلى وظائف ومتطلبات في النظام، وصياغة وثائق التصميم ومخططاته الانسيابية.', '  إعداد نماذج البيانات، ومخططات التدفق الوظيفية وغيرها من الوثائق، وإعداد العناصر المطلوبة من المشروع وعرضها.', '  إجراء الاختبارات وتحليل تقييم الأداء، وضمان تقيد البرامج والتطبيقات والبرامج النصية بالمعايير المحددة.', '  ', '  ']",شقق لجين الغربية للوحدات السكنية المفروشة,9-1145084,خاص,صغيرة فئة ب,أنشطة اخرى خاصة بالنقل البري للبضائع,"['Skill data', 'برامج المايكروسوفت اوفيس', 'محترف', 'Language data', 'لغة انجليزية', 'محترف']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026276207,2 Years,both
مدير عمليات موارد بشرية,26/04/1444,['المشاركة في وضع الأهداف الرئيسية وخطط وبرامج عمليات الموارد البشرية، والإشراف المباشر على أنشطة إدارة وتخطيط وتنظيم عمليات الموارد البشرية ومتابعة فرق العمل  وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية بأكبر كفاءة وفعالية ممكنة.'],"['   المشاركة في تطوير الأهداف الرئيسية لإدارة عمليات الموارد البشرية، والتأكد من وجود الأطر والمقاييس الدقيقة لمعرفة مستوى تحقيق هذه الخطط والأهداف.', '  تطوير الخطط والبرامج والمشروعات التفصيلية لعمليات وإجراءات الموارد البشرية وإدارة رسم العمليات والإجراءات وتخطيطها وتحسينها المستمر، ومتابعة عملية تنفيذها بما يضمن أفضل المخرجات ويحقق أفضل مستويات الخدمات والكفاءات.', '  متابعة التعديلات والتغييرات في سياسات الموارد البشرية والتنسيق مع إدارات الموارد البشرية المعنية بهدف إظهار هذه التعديلات على عمليات الموارد البشرية كالإجازات والنقل والتدريب والترقية وغيرها.', '  تحديد احتياجات إدارة عمليات الموارد البشرية من الموارد المالية والبشرية والمستلزمات الإدارية اللازمة لتنفيذ وإدارة الأعمال والأنشطة.', '  الإشراف على عمليات إعداد وتحضير الملخصات والتقارير العامة المتعلقة بعمليات الموارد البشرية، وعرضها على الإدارة العليا، وإحاطتها بمختلف التحديات والمستجدات واستشارتهم في مختلف القضايا والمبادرات المستقبلية المهمة.', '  ']",شركة قوافل الكمال للتجارة,13-1959212,خاص,متوسطة فئة ب,مراكز ضيافة الأطفال الأهلية,"['Skill data', 'الالمام بكافة قوانين مكتب العمل', 'محترف', 'تدريب الموظفين', 'محترف', 'استخدام برامج الاوفس', 'محترف', 'Language data', 'الانجليزية', 'متوسط']",مكة المكرمة,MAKKAH AL...,"['Salary', '6000.0', 'Benefits', 'تامين طبي وتامين اجتماعي']",دوام كامل,0 / 1,20202026276148,7 Years,both
سكرتير,25/04/1444,['متابعة تنفيذ القرارات الادارية الصادرة عن الرئيس المباشر وتنظيم أعمال البريد والمواعيد اليومية، وإنجاز الأعمال الادارية المتعلقة بسير العمل وتنسيق وتنظيم اجتماعات الرئيس المباشر'],"['   تنفيذ التعليمات الادارية الصادرة عن الرئيس المباشر ومتابعة تنفيذ القرارات الادارية الصادرة عنه', '  فتح وفرز البريد الورقي وتوزيعه على المعنيين وفتح البريد الالكتروني والرد عليه بحسب توجيهات الرئيس المباشر', '  انجاز أعمال الطباعة والرد على الاستفسارات والمكالمات الهاتفية وتنظيم الملفات الخاصة', '  حفظ المعاملات والعناية بالملفات بأسلوب سلس يسهل عملية الرجوع إليها', '  تنسيق وتنظيم اجتماعات الرئيس المباشر واجتماعات موظفي الوحدة التنظيمية والمشاركة في هذه الاجتماعات و تدوين وتوثيق محاضرها، وطباعة وتوزيع محاضر الاجتماعات الخاصة بالرئيس المباشر للأطراف الأخرى المشاركة في الاجتماع.', '  ']",المكتب التعاوني للدعوة والارشاد وتوعية الجاليات با,1-1386640,خاص,صغيرة فئة ب,الأنشطة الخيرية ، يشمل: جمع التبرعات أو أنشطة الدعم الأخرى التي تدخل في نطاق العمل الاجتماعي,nan,الرياض,AR RIYADH...,"['Salary', '3000.0']",دوام كامل,0 / 2,20202026276073,0 Years,both
عامل تصنيع,25/04/1444,['تشغيل آلات الإنتاج ومراقبتها ومتابعة الحالة التشغيلية للآلات بهدف الكشف عن مشاكل التشغيل وتنظيف المعدات وتنفيذ الصيانة الأساسية، وحفظ البيانات والمعلومات المتعلقة بالأعمال المنجزة.'],"['   تشغيل آلات الإنتاج ومراقبتها، والتحقق من مطابقة المنتج للمواصفات الفنية.', '  متابعة الحالة التشغيلية للآلات بهدف الكشف عن المشاكل وإبلاغ ميكانيكيي الصيانة.', '  تنظيف المعدات وتنفيذ إجراءات الصيانة الوقائية.', '  حفظ البيانات والمعلومات المتعلقة بالعمل وبالأعمال المنجزة والعمل على تبويبها وترتيبها بناءً على الممارسات المعتمدة.', '  الالتزام التام بسياسات وإجراءات الصحة والسلامة العامة عند القيام بمختلف الأعمال والعمليات.', '  ']",مصنع رواد الكفاح للصناعة,8-55816,خاص,صغيرة فئة ب,صناعة المطابخ من الخشب والألمنيوم الخ,"['Skill data', 'الالتزام با الوقت ', 'محترف', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'خريج اي برنامج  من المؤسسة العامة التعليم المهني ', 'ضروري']",المنطقة الشرقية,AL MUBARR...,"['Salary', '4400.0', 'Benefits', 'اضافي ']",دوام كامل,0 / 1,20202026275985,0 Years,M
عامل كاونتر مأكولات ومشروبات,25/04/1444,['تحضير وتقديم  الطعام والشراب في الأماكن العامة وتطبيق اسس وتعليمات السلامةو الصحة المهنية'],"['   تحضير المشروبات الساخنة والباردة للعملاء', '  تقديم الوجبات الخفيفة والمشروبات إلى العملاء', '  الاهتمام بنظافة المحل', '  تقديم التوصيات والإقتراحات للعملاء لاختيار المشروبات والوجبات الخفيفة', '  تحصيل الثمن بشكل فوري', '  ']",مطعم نسيم الوردة الشامية,4-107144,خاص,صغيرة فئة ب,البوفيهات ( الكافيتريات ),nan,المنطقة الشرقية,AD DAMMAM...,"['Salary', '4000.0']",دوام كامل,0 / 2,20202026275978,0 Years,both
بائع,25/04/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة أسامه بكر عبدالله بكر الزراعية,1-2192849,خاص,متوسطة فئة أ,البيع بالجملة للخضراوات,"['Skill data', 'ايجادة استخدام الحاسب الالي', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026275871,0 Years,both
بائع,25/04/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، وتسجيل الفواتير اليومية بالنظام ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة أسامه بكر عبدالله بكر الزراعية,9-2044974,خاص,متوسطة فئة أ,البيع بالجملة للزهور,"['Skill data', 'الحاسب الالي', 'محترف']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'بدلات اخرى 500']",دوام كامل,0 / 1,20202026275798,0 Years,both
